Número;Especie;Emision;Vencimiento;Cupon;Pago;Cotización Obligatoria
1;TUVT10150512;15-may-02;15-may-12;7.00%;1;
2;TUVT06200313;20-mar-07;20-mar-13;5.25%;1;
3;TUVT08170517;17-may-09;17-may-17;4.25%;1;
4;TUVT06170419;17-abr-13;17-abr-19;3.50%;1;
5;TUVT10100321;10-mar-11;10-mar-21;3.50%;1;Cotización Obligatoria
6;TUVT17230223;23-feb-07;23-feb-23;4.75%;1;Cotización Obligatoria
7;TUVT11070525;7-may-14;7-may-25;3.50%;1;
8;TUVT11170327;17-mar-16;17-mar-27;3.30%;1;
9;TUVT20250333;25-mar-13;25-mar-33;3.00%;1;
10;TUVT20040435;4-abr-15;4-abr-35;4.75%;1;Cotización Obligatoria
11;TUVT32160649;16-jun-17;16-jun-49;3.75%;1;
