fecha;valorUVR;variacion_diaria;variacion_mensual;variacion_anual;variacion_ano_corrido
1/01/2000;103,3396;;;;
2/01/2000;103,3556;0,02;;;
3/01/2000;103,3715;0,02;;;
4/01/2000;103,3875;0,02;;;
5/01/2000;103,4035;0,02;;;
6/01/2000;103,4195;0,02;;;
7/01/2000;103,4354;0,02;;;
8/01/2000;103,4514;0,02;;;
9/01/2000;103,4674;0,02;;;
10/01/2000;103,4834;0,02;;;
11/01/2000;103,4994;0,02;;;
12/01/2000;103,5153;0,02;;;
13/01/2000;103,5313;0,02;;;
14/01/2000;103,5473;0,02;;;
15/01/2000;103,5633;0,02;;;
16/01/2000;103,581;0,02;;;
17/01/2000;103,5986;0,02;;;
18/01/2000;103,6163;0,02;;;
19/01/2000;103,634;0,02;;;
20/01/2000;103,6516;0,02;;;
21/01/2000;103,6693;0,02;;;
22/01/2000;103,687;0,02;;;
23/01/2000;103,7047;0,02;;;
24/01/2000;103,7224;0,02;;;
25/01/2000;103,74;0,02;;;
26/01/2000;103,7577;0,02;;;
27/01/2000;103,7754;0,02;;;
28/01/2000;103,7931;0,02;;;
29/01/2000;103,8108;0,02;;;
30/01/2000;103,8285;0,02;;;
31/01/2000;103,8462;0,02;;;
1/02/2000;103,8639;0,02;0,51;;
2/02/2000;103,8817;0,02;0,51;;
3/02/2000;103,8994;0,02;0,51;;
4/02/2000;103,9171;0,02;0,51;;
5/02/2000;103,9348;0,02;0,51;;
6/02/2000;103,9525;0,02;0,52;;
7/02/2000;103,9703;0,02;0,52;;
8/02/2000;103,988;0,02;0,52;;
9/02/2000;104,0057;0,02;0,52;;
10/02/2000;104,0235;0,02;0,52;;
11/02/2000;104,0412;0,02;0,52;;
12/02/2000;104,0589;0,02;0,53;;
13/02/2000;104,0767;0,02;0,53;;
14/02/2000;104,0944;0,02;0,53;;
15/02/2000;104,1122;0,02;0,53;;
16/02/2000;104,1582;0,04;0,56;;
17/02/2000;104,2043;0,04;0,58;;
18/02/2000;104,2503;0,04;0,61;;
19/02/2000;104,2964;0,04;0,64;;
20/02/2000;104,3425;0,04;0,67;;
21/02/2000;104,3887;0,04;0,69;;
22/02/2000;104,4348;0,04;0,72;;
23/02/2000;104,481;0,04;0,75;;
24/02/2000;104,5272;0,04;0,78;;
25/02/2000;104,5734;0,04;0,8;;
26/02/2000;104,6196;0,04;0,83;;
27/02/2000;104,6659;0,04;0,86;;
28/02/2000;104,7121;0,04;0,89;;
29/02/2000;104,7584;0,04;0,91;;
1/03/2000;104,8047;0,04;0,91;;
2/03/2000;104,8511;0,04;0,93;;
3/03/2000;104,8974;0,04;0,96;;
4/03/2000;104,9438;0,04;0,99;;
5/03/2000;104,9902;0,04;1,02;;
6/03/2000;105,0366;0,04;1,04;;
7/03/2000;105,083;0,04;1,07;;
8/03/2000;105,1295;0,04;1,1;;
9/03/2000;105,176;0,04;1,13;;
10/03/2000;105,2225;0,04;1,15;;
11/03/2000;105,269;0,04;1,18;;
12/03/2000;105,3155;0,04;1,21;;
13/03/2000;105,3621;0,04;1,24;;
14/03/2000;105,4086;0,04;1,26;;
15/03/2000;105,4552;0,04;1,29;;
16/03/2000;105,5326;0,07;1,32;;
17/03/2000;105,61;0,07;1,35;;
18/03/2000;105,6875;0,07;1,38;;
19/03/2000;105,7651;0,07;1,41;;
20/03/2000;105,8427;0,07;1,44;;
21/03/2000;105,9204;0,07;1,47;;
22/03/2000;105,9981;0,07;1,5;;
23/03/2000;106,0759;0,07;1,53;;
24/03/2000;106,1537;0,07;1,56;;
25/03/2000;106,2316;0,07;1,59;;
26/03/2000;106,3095;0,07;1,62;;
27/03/2000;106,3876;0,07;1,64;;
28/03/2000;106,4656;0,07;1,67;;
29/03/2000;106,5437;0,07;1,7;;
30/03/2000;106,6219;0,07;1,78;;
31/03/2000;106,7002;0,07;1,85;;
1/04/2000;106,7785;0,07;1,88;;
2/04/2000;106,8568;0,07;1,91;;
3/04/2000;106,9352;0,07;1,94;;
4/04/2000;107,0137;0,07;1,97;;
5/04/2000;107,0922;0,07;2;;
6/04/2000;107,1708;0,07;2,03;;
7/04/2000;107,2495;0,07;2,06;;
8/04/2000;107,3282;0,07;2,09;;
9/04/2000;107,4069;0,07;2,12;;
10/04/2000;107,4857;0,07;2,15;;
11/04/2000;107,5646;0,07;2,18;;
12/04/2000;107,6435;0,07;2,21;;
13/04/2000;107,7225;0,07;2,24;;
14/04/2000;107,8016;0,07;2,27;;
15/04/2000;107,8807;0,07;2,3;;
16/04/2000;107,9417;0,06;2,28;;
17/04/2000;108,0027;0,06;2,27;;
18/04/2000;108,0638;0,06;2,25;;
19/04/2000;108,1249;0,06;2,23;;
20/04/2000;108,186;0,06;2,21;;
21/04/2000;108,2472;0,06;2,2;;
22/04/2000;108,3084;0,06;2,18;;
23/04/2000;108,3696;0,06;2,16;;
24/04/2000;108,4308;0,06;2,15;;
25/04/2000;108,4921;0,06;2,13;;
26/04/2000;108,5535;0,06;2,11;;
27/04/2000;108,6149;0,06;2,09;;
28/04/2000;108,6763;0,06;2,08;;
29/04/2000;108,7377;0,06;2,06;;
30/04/2000;108,7992;0,06;2,04;;
1/05/2000;108,8607;0,06;1,95;;
2/05/2000;108,9222;0,06;1,93;;
3/05/2000;108,9838;0,06;1,92;;
4/05/2000;109,0454;0,06;1,9;;
5/05/2000;109,1071;0,06;1,88;;
6/05/2000;109,1687;0,06;1,86;;
7/05/2000;109,2305;0,06;1,85;;
8/05/2000;109,2922;0,06;1,83;;
9/05/2000;109,354;0,06;1,81;;
10/05/2000;109,4158;0,06;1,8;;
11/05/2000;109,4777;0,06;1,78;;
12/05/2000;109,5396;0,06;1,76;;
13/05/2000;109,6015;0,06;1,74;;
14/05/2000;109,6635;0,06;1,73;;
15/05/2000;109,7255;0,06;1,71;;
16/05/2000;109,7607;0,03;1,69;;
17/05/2000;109,796;0,03;1,66;;
18/05/2000;109,8312;0,03;1,64;;
19/05/2000;109,8665;0,03;1,61;;
20/05/2000;109,9017;0,03;1,59;;
21/05/2000;109,937;0,03;1,56;;
22/05/2000;109,9723;0,03;1,54;;
23/05/2000;110,0076;0,03;1,51;;
24/05/2000;110,0429;0,03;1,49;;
25/05/2000;110,0783;0,03;1,46;;
26/05/2000;110,1136;0,03;1,44;;
27/05/2000;110,1489;0,03;1,41;;
28/05/2000;110,1843;0,03;1,39;;
29/05/2000;110,2197;0,03;1,36;;
30/05/2000;110,2551;0,03;1,34;;
31/05/2000;110,2905;0,03;1,37;;
1/06/2000;110,3259;0,03;1,35;;
2/06/2000;110,3613;0,03;1,32;;
3/06/2000;110,3967;0,03;1,3;;
4/06/2000;110,4322;0,03;1,27;;
5/06/2000;110,4676;0,03;1,25;;
6/06/2000;110,5031;0,03;1,22;;
